depart-name,DeptID
POLICE,1
DAIS,2
WATER MGMNT,3
TRANSPORTN,4
OEMC,5
AVIATION,6
FIRE,7
FAMILY & SUPPORT,8
LAW,9
STREETS & SAN,10
HEALTH,11
FINANCE,12
BUSINESS AFFAIRS,13
HUMAN RESOURCES,14
PUBLIC LIBRARY,15
CITY COUNCIL,16
CULTURAL AFFAIRS,17
COPA,18
HOUSING,19
PROCUREMENT,20
BUILDINGS,21
ANIMAL CONTRL,22
HOUSING & ECON DEV,23
BOARD OF ELECTION,24
PUBLIC SAFETY ADMIN,25
DISABILITIES,26
CITY CLERK,27
INSPECTOR GEN,28
HUMAN RELATIONS,29
MAYOR'S OFFICE,30
TREASURER,31
BUDGET & MGMT,32
BOARD OF ETHICS,33
ADMIN HEARNG,34
POLICE BOARD,35
LICENSE APPL COMM,36
		
